hashtag,window,score,mentions,reach,sentiment,rows_count
#5G,2024-05-28,0.0,1622142,7116575,-0.10187500000000001,16
#AI,2024-05-28,0.0,1098011,4988007,-0.4183333333333333,12
#AIArt,2024-05-28,0.0,475886,1563776,-0.28,9
#Adventure,2024-05-28,0.0,1680314,5132336,0.11333333333333334,18
#Analytics,2024-05-28,0.0,2181972,9049724,-0.00777777777777776,18
#Art,2024-05-28,0.0,1375902,5718200,0.19375,16
#BigData,2024-05-28,0.0,953598,3243494,-0.33555555555555555,9
#Blockchain,2024-05-28,0.0,1961674,8172972,-0.05947368421052631,19
#Books,2024-05-28,0.0,1265774,5298145,-0.05533333333333334,15
#BreakingNews,2024-05-28,0.0,1346481,4494483,0.049999999999999996,13
#Business,2024-05-28,0.0,2052939,6933806,0.2085,20
#ClimateChange,2024-05-28,0.0,1736694,7355143,0.11411764705882353,17
#Cloud,2024-05-28,0.0,542039,1638877,-0.05666666666666664,6
#Coding,2024-05-28,0.0,1443534,4527225,0.155,16
#Crypto,2024-05-28,0.0,1600431,5262989,0.36125,16
#CyberSecurity,2024-05-28,0.0,1311981,5605193,-0.08307692307692308,13
#DataScience,2024-05-28,0.0,1173003,4526682,-0.12699999999999997,10
#DeepLearning,2024-05-28,0.0,1591793,6343060,0.016666666666666656,15
#EcoFriendly,2024-05-28,0.0,1333972,5718856,-0.11636363636363636,11
#Education,2024-05-28,0.0,2621029,10035211,0.01576923076923077,26
#Elections2025,2024-05-28,0.0,1387250,5740878,-0.044375,16
#Entrepreneur,2024-05-28,0.0,559624,2170514,-0.25857142857142856,7
#Fashion,2024-05-28,0.0,1459950,3838582,-0.013333333333333317,12
#Finance,2024-05-28,0.0,1550271,5220067,-0.14105263157894737,19
#FitnessGoals,2024-05-28,0.0,1165633,4603845,0.07699999999999999,10
#FoodPorn,2024-05-28,0.0,1012368,3817752,0.17909090909090908,11
#Foodie,2024-05-28,0.0,1738939,6850473,0.23882352941176468,17
#Gaming,2024-05-28,0.0,1573619,5022784,0.026000000000000016,15
#Health,2024-05-28,0.0,1025298,3974776,-0.282,10
#Hiking,2024-05-28,0.0,803355,2269205,-0.10400000000000001,10
#History,2024-05-28,0.0,523184,2041062,-0.5283333333333333,6
#Innovation,2024-05-28,0.0,1891151,6998122,0.034444444444444444,18
#Investing,2024-05-28,0.0,1047296,3639552,0.29833333333333334,12
#IoT,2024-05-28,0.0,1605910,5732570,-0.07368421052631578,19
#MachineLearning,2024-05-28,0.0,1315781,4323504,-0.13166666666666665,12
#MentalHealth,2024-05-28,0.0,2011180,7214686,0.10823529411764707,17
#MetGala,2024-05-28,0.0,1067221,3090275,0.356,10
#Motivation,2024-05-28,0.0,1053096,4069925,0.257,10
#Movies,2024-05-28,0.0,1491363,5822883,-0.21833333333333335,12
#MusicMonday,2024-05-28,0.0,822872,2943272,-0.3985714285714286,7
#NFT,2024-05-28,0.0,462576,1726206,0.15399999999999997,5
#Nature,2024-05-28,0.0,1446963,5914581,0.010000000000000012,15
#Oscars,2024-05-28,0.0,1102336,3579425,0.071,10
#Photography,2024-05-28,0.0,993722,3563207,0.13,9
#Politics,2024-05-28,0.0,1295503,4572200,0.03384615384615385,13
#Productivity,2024-05-28,0.0,1068086,3355803,0.08,13
#Python,2024-05-28,0.0,1363559,5359308,-0.2825,16
#RemoteWork,2024-05-28,0.0,671055,2228529,0.12857142857142856,7
#Robotics,2024-05-28,0.0,999147,3784552,0.1425,12
#Science,2024-05-28,0.0,2287664,9313317,0.04650000000000001,20
#SelfCare,2024-05-28,0.0,1294745,4796449,0.12583333333333332,12
#SmartCity,2024-05-28,0.0,1909528,7943483,0.08700000000000001,20
#SpaceX,2024-05-28,0.0,1268378,5383806,0.23727272727272727,11
#Startup,2024-05-28,0.0,752427,2805292,0.25,7
#Stocks,2024-05-28,0.0,2813790,10611839,0.07130434782608695,23
#Sustainability,2024-05-28,0.0,2210290,8924382,-0.07549999999999998,20
#TechNews,2024-05-28,0.0,2059240,7464290,-0.06347826086956522,23
#Travel,2024-05-28,0.0,1133368,3969282,0.16166666666666665,12
#TravelTuesday,2024-05-28,0.0,1123881,3823644,0.0625,12
#Vegan,2024-05-28,0.0,915945,3192745,0.2727272727272727,11
#ViralVideo,2024-05-28,0.0,1084948,5318533,-0.2490909090909091,11
#WorldCup,2024-05-28,0.0,1099715,5386126,-0.13857142857142857,7
#Entrepreneur,2024-05-29,31.305325076410487,1822493,6549692,-0.11611111111111111,18
#AIArt,2024-05-29,28.192808509350616,1257923,5453197,0.10600000000000002,15
#History,2024-05-29,24.18220183275765,1275834,5274936,0.08600000000000001,15
#MusicMonday,2024-05-29,20.477040936947503,1700573,5719455,0.23384615384615384,13
#FoodPorn,2024-05-29,18.73405594964955,2033439,8232393,0.16647058823529412,17
#Robotics,2024-05-29,15.551563991009587,1944722,7345351,0.039411764705882354,17
#ViralVideo,2024-05-29,15.455788618904874,2344106,7607507,-0.1595,20
#NFT,2024-05-29,14.928436412415495,1061069,4122580,-0.24249999999999997,12
#Hiking,2024-05-29,14.349015977263258,1784487,6099610,-0.24800000000000003,15
#Cloud,2024-05-29,13.14371574601239,922676,3914222,0.233,10
#Startup,2024-05-29,10.767848061727149,1436259,5097694,-0.23285714285714285,14
#Politics,2024-05-29,10.34124483287705,2215542,8155305,-0.085,22
#Investing,2024-05-29,9.148793216247924,1703211,7776315,-0.07933333333333333,15
#Books,2024-05-29,8.512828886137129,1919544,6142968,0.054444444444444434,18
#SelfCare,2024-05-29,7.498227399758754,1827392,7109482,0.15526315789473685,19
#Travel,2024-05-29,6.813097262710152,1638038,5525291,-0.01444444444444445,18
#RemoteWork,2024-05-29,6.0699220533126645,960822,3722306,-0.07090909090909091,11
#TravelTuesday,2024-05-29,5.7742435009690025,1508521,5608611,0.08571428571428572,14
#Motivation,2024-05-29,5.123447418694779,1413510,4391901,-0.02124999999999999,16
#MetGala,2024-05-29,5.028277874738988,1340581,5301424,0.26785714285714285,14
#Vegan,2024-05-29,4.506521819431213,1364698,5574939,-0.40785714285714286,14
#Nature,2024-05-29,3.697141198215411,1777956,7825664,0.01823529411764706,17
#Movies,2024-05-29,2.796007264446982,1783290,6266711,-0.08733333333333333,15
#Oscars,2024-05-29,2.7054415523188653,1284396,5402852,0.056666666666666664,12
#BigData,2024-05-29,2.5872855570188515,1118518,4330020,-0.020999999999999998,10
#BreakingNews,2024-05-29,1.4318014092687452,1492012,5120498,-0.1425,12
#MachineLearning,2024-05-29,0.7220267564989421,1365931,6054383,0.21307692307692305,13
#Fashion,2024-05-29,0.5698845053430147,1529066,5506817,-0.22444444444444445,18
#DeepLearning,2024-05-29,0.5449193503259051,1649366,6267757,-0.037368421052631585,19
#TechNews,2024-05-29,0.3588636151407541,2095239,7938486,0.2921052631578947,19
#Python,2024-05-29,0.17534495162133057,1379767,4353956,-0.03500000000000001,14
#Productivity,2024-05-29,-0.23825670613582225,1052489,3934982,0.07444444444444444,9
#Photography,2024-05-29,-0.5472732639973669,957978,3663925,0.0066666666666666775,12
#AI,2024-05-29,-0.5734940876713613,1052699,3393563,-0.07583333333333332,12
#Sustainability,2024-05-29,-1.0398384179533704,2099820,8481808,0.30411764705882355,17
#CyberSecurity,2024-05-29,-1.7305237956015498,1195688,4745129,0.26999999999999996,10
#SpaceX,2024-05-29,-2.4379339706742233,1054017,4298855,-0.05555555555555555,9
#Elections2025,2024-05-29,-3.545414105648397,1062647,3853993,-0.000833333333333334,12
#FitnessGoals,2024-05-29,-3.603053784010238,895116,4076811,0.019999999999999997,11
#Gaming,2024-05-29,-3.7977939934790763,1172998,3845769,-0.016153846153846147,13
#EcoFriendly,2024-05-29,-3.865175748232278,990930,3426552,-0.0011111111111111243,9
#Crypto,2024-05-29,-4.211984344166814,1136888,3996941,-0.043333333333333335,12
#ClimateChange,2024-05-29,-4.274736151097507,1219050,4092928,-0.057999999999999996,10
#5G,2024-05-29,-4.323728168046753,1061375,4458429,-0.18307692307692308,13
#SmartCity,2024-05-29,-4.819655424417086,1162547,4316734,-0.19357142857142856,14
#DataScience,2024-05-29,-4.830617886415564,870256,3590748,0.24,10
#Coding,2024-05-29,-4.893822831015847,923362,2897831,-0.0872727272727273,11
#Blockchain,2024-05-29,-4.981007807794547,1138865,4666941,-0.22666666666666668,9
#IoT,2024-05-29,-5.08435679505192,1140553,5315161,0.13299999999999998,10
#Finance,2024-05-29,-5.100863735393352,1118521,3340118,0.2192857142857143,14
#WorldCup,2024-05-29,-5.386329842945946,703108,2814827,0.0057142857142857195,7
#Analytics,2024-05-29,-5.523124785408047,1182678,5300798,-0.22111111111111112,9
#Art,2024-05-29,-5.865905022058584,783688,3192259,-0.09000000000000001,8
#Business,2024-05-29,-6.422070731960723,1153781,4437407,-0.04200000000000002,10
#Health,2024-05-29,-6.571889610930838,631238,1905584,0.1825,8
#MentalHealth,2024-05-29,-7.061704021190232,952310,3194760,-0.10444444444444445,9
#Adventure,2024-05-29,-7.450570559196409,917181,3166683,0.096,10
#Stocks,2024-05-29,-7.462864280783187,1633478,5831682,0.142,15
#Foodie,2024-05-29,-7.589642337813342,829541,2958607,-0.026000000000000013,10
#Science,2024-05-29,-9.018354320223388,1002650,3412886,0.06727272727272728,11
#Innovation,2024-05-29,-9.276027445497743,620603,3120059,-0.07666666666666666,9
#Education,2024-05-29,-12.67620816153779,854873,3946628,0.23857142857142857,7
#Health,2024-05-30,40.96972171057117,1846062,6570759,0.3561111111111111,18
#DataScience,2024-05-30,28.853711245947025,2286411,9104485,0.10652173913043479,23
#FitnessGoals,2024-05-30,17.76882131752178,1853251,7217086,0.051176470588235295,17
#EcoFriendly,2024-05-30,17.317933363766816,1782696,6723472,0.37866666666666665,15
#WorldCup,2024-05-30,14.516799862144008,1510864,5869812,-0.18923076923076923,13
#Cloud,2024-05-30,13.385227235496984,1740889,6482681,-0.037647058823529415,17
#Crypto,2024-05-30,13.38178685293583,2236713,8710800,-0.134375,16
#Elections2025,2024-05-30,12.616987348141135,1886398,6374245,0.038823529411764715,17
#Science,2024-05-30,12.362641642378216,2021060,6735188,-0.22588235294117645,17
#Business,2024-05-30,11.740704395340371,1976609,7982216,0.03588235294117647,17
#Analytics,2024-05-30,10.781555236655093,2050643,8608703,-0.08,17
#RemoteWork,2024-05-30,10.775679885530717,1516935,6989136,0.18133333333333335,15
#BigData,2024-05-30,10.352566837928839,1827122,6562908,0.04105263157894737,19
#Oscars,2024-05-30,8.05768515616514,1861979,6817485,0.13875,16
#IoT,2024-05-30,7.769604278155617,1685636,6205824,0.03941176470588235,17
#MentalHealth,2024-05-30,7.745742273524921,1340459,4257526,0.24499999999999997,14
#AI,2024-05-30,7.405883881887072,1772022,5365260,-0.3005555555555556,18
#Productivity,2024-05-30,7.276724989438782,1519145,5159495,0.061818181818181814,11
#Photography,2024-05-30,6.929384773519276,1455122,4910759,-0.13333333333333333,12
#Motivation,2024-05-30,6.557050297241245,1999239,6729934,0.0064705882352941065,17
#Coding,2024-05-30,6.2573241545367795,1378470,4211217,-0.1676923076923077,13
#Art,2024-05-30,4.612264142781056,1031448,4522711,-0.04799999999999999,10
#MachineLearning,2024-05-30,3.766879303390701,1618779,5575433,0.31,16
#Education,2024-05-30,3.216023549690478,988899,3791109,0.3541666666666667,12
#Innovation,2024-05-30,2.293183432817991,750761,2731325,-0.2622222222222222,9
#AIArt,2024-05-30,2.0746372871592045,1405120,4729197,0.15357142857142855,14
#Foodie,2024-05-30,1.7775979815984329,920603,3737410,0.07,11
#Gaming,2024-05-30,1.3735703252898706,1259414,4253520,0.22153846153846152,13
#NFT,2024-05-30,1.166213905927991,1145697,4179641,-0.0409090909090909,11
#Books,2024-05-30,1.137665034232882,2061970,8018167,-0.03549999999999999,20
#Fashion,2024-05-30,1.1008985991204692,1635632,5850510,0.013749999999999998,16
#Python,2024-05-30,0.9212762831451907,1467265,4725474,-0.05470588235294119,17
#Vegan,2024-05-30,-0.23981422496558694,1335923,5695303,-0.26882352941176474,17
#Blockchain,2024-05-30,-0.4316160304024936,1096134,3683986,-0.23916666666666667,12
#5G,2024-05-30,-1.0397922282638477,985128,4446205,-0.05444444444444444,9
#SmartCity,2024-05-30,-1.8813219660893181,997677,4077898,-0.12846153846153846,13
#BreakingNews,2024-05-30,-2.0344120941831423,1274935,3901319,-0.07866666666666668,15
#ClimateChange,2024-05-30,-2.3691900225512246,989441,2940081,-0.15545454545454546,11
#Robotics,2024-05-30,-2.451673697581498,1657364,6087485,0.06210526315789473,19
#MusicMonday,2024-05-30,-2.4723188978141266,1468792,5686388,0.16625,16
#Investing,2024-05-30,-2.653143408645654,1429616,5000296,0.07076923076923078,13
#SelfCare,2024-05-30,-2.7940427483797,1498314,5691016,-0.0024999999999999814,16
#Travel,2024-05-30,-3.186851316333207,1310996,4421227,0.04312500000000001,16
#Finance,2024-05-30,-3.2844565451789727,934584,3690832,0.32083333333333336,12
#Nature,2024-05-30,-3.7310963078716335,1316500,4448362,-0.06090909090909092,11
